,_class_name,_library,_group,_path,_lines
1125,GroupShuffleSplit,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/model_selection/_split.py,141
1126,deprecated,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/utils/deprecation.py,99
1127,LockableBbox,matplotlib,Other,matplotlib-3.9.0/lib/matplotlib/transforms.py,119
1128,Set,sympy,Other,sympy-sympy-1.12.1/sympy/sets/sets.py,752
1129,fma,sympy,Other,sympy-sympy-1.12.1/sympy/codegen/cfunctions.py,39
1130,RationalRiccati,sympy,Other,sympy-sympy-1.12.1/sympy/solvers/ode/single.py,68
1131,Point,sympy,Other,sympy-sympy-1.12.1/sympy/physics/vector/point.py,622
1132,DynamicEmbedding,tfkeras,TensorFlow/Keras,tf-keras-2.16.0/tf_keras/layers/experimental/dynamic_embedding.py,240
1133,AsinhLocator,matplotlib,Other,matplotlib-3.9.0/lib/matplotlib/ticker.py,90
1134,HashedCrossing,tfkeras,TensorFlow/Keras,tf-keras-2.16.0/tf_keras/layers/preprocessing/hashed_crossing.py,187
1135,FeatureSpace,tfkeras,TensorFlow/Keras,tf-keras-2.16.0/tf_keras/utils/feature_space.py,683
1136,Kernel,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/gaussian_process/kernels.py,309
1137,InvertiblePredicate,sympy,Other,sympy-sympy-1.12.1/sympy/assumptions/predicates/matrices.py,32
